DATE	SUNRISE	SUNSET
11/07/2015	5.95	18.8333333333333
12/07/2015	5.95	18.8333333333333
13/07/2015	5.95	18.8333333333333
14/07/2015	5.96666666666667	18.8333333333333
15/07/2015	5.96666666666667	18.8333333333333
16/07/2015	5.96666666666667	18.8333333333333
17/07/2015	5.96666666666667	18.8333333333333
18/07/2015	5.98333333333333	18.8333333333333
19/07/2015	5.98333333333333	18.8166666666667
20/07/2015	5.98333333333333	18.8166666666667
21/07/2015	6	18.8166666666667
22/07/2015	6	18.8166666666667
23/07/2015	6	18.8166666666667
24/07/2015	6	18.8166666666667
25/07/2015	6.01666666666667	18.8
26/07/2015	6.01666666666667	18.8
27/07/2015	6.01666666666667	18.8
28/07/2015	6.01666666666667	18.8
29/07/2015	6.03333333333333	18.7833333333333
30/07/2015	6.03333333333333	18.7833333333333
31/07/2015	6.03333333333333	18.7833333333333
01/08/2015	6.03333333333333	18.7666666666667
02/08/2015	6.05	18.7666666666667
03/08/2015	6.05	18.7666666666667
04/08/2015	6.05	18.75
05/08/2015	6.05	18.75
06/08/2015	6.05	18.7333333333333
07/08/2015	6.06666666666667	18.7333333333333
08/08/2015	6.06666666666667	18.7333333333333
09/08/2015	6.06666666666667	18.7166666666667
10/08/2015	6.06666666666667	18.7166666666667
11/08/2015	6.06666666666667	18.7
12/08/2015	6.06666666666667	18.7
13/08/2015	6.08333333333333	18.6833333333333
