DATE	MAX_TEMP	MIN_TEMP	MAX_WIND_KMH	TOT_RAIN_MM
11/07/15	37.6	26.5	14.5	0
12/07/15	35.8	27.3	12.9	0
13/07/15	37.4	26.7	14.5	74.4
14/07/15	35.5	26.2	14.5	243.2
15/07/15	34.1	25.7	16.1	353.2
16/07/15	33.1	26.6	12.9	0
17/07/15	32.8	25	16.1	48.8
18/07/15	32.1	27.2	12.9	0
19/07/15	32.7	24.9	11.3	36
20/07/15	31.4	26.2	16.1	3
21/07/15	32.5	27.1	17.7	0
22/07/15	33.8	26.7	11.3	0
23/07/15	36	27.6	12.9	0
24/07/15	35.8	27.7	9.7	0
25/07/15	35.2	27.2	11.3	0
26/07/15	36.1	28.2	12.9	0
27/07/15	33.9	25.1	19.3	44
28/07/15	33.1	23.7	19.3	89.8
29/07/15	33.3	22.5	17.7	672.6
30/07/15	32.1	23.2	19.3	1902.4
31/07/15	31.8	23.8	9.7	0
01/08/15	34.4	24	12.9	208.8
02/08/15	32.4	24.3	12.9	71.4
03/08/15	34.1	24.6	11.3	156.4
04/08/15	33.5	25.7	8	0
05/08/15	34	25.4	12.9	0
06/08/15	34.5	26.2	11.3	0
07/08/15	35.5	26.3	12.9	0
08/08/15	33.7	27.1	11.3	0
09/08/15	35.7	26.7	12.9	0
10/08/15	36.3	26.6	9.7	0
11/08/15	36.4	26	12.9	5.2
12/08/15	36.7	26.6	16.1	0
13/08/15	33.7	27	6.4	0
